valuation,Rating year,Location,Suburb,Town/City,Total Rates
1486100100,2018,"""83 Reay MacKay Grove, Waikawa Beach""",,,5120.81
1486100200,2018,"""Row Otaki Golf Links, Otaki""",,,200.23
1486100300,2018,"""Row Otaki Golf Links, Otaki""",,,952.25
1486100400,2018,"""Row Otaki Golf Links, Otaki""",,,1091.78
1486100500,2018,"""Row Otaki Golf Links, Otaki""",,,1968.65
1486100800,2018,"""Waiorongomai Road, Otaki""",,,660.98
1486100900,2018,"""Row Otaki Golf Links, Otaki""",,,1089.21
1486101000,2018,"""Row Otaki Golf Links, Otaki""",,,548.65
1486101100,2018,"""Row Otaki Golf Links, Otaki""",,,918.55
1486101200,2018,"""Row Otaki Golf Links, Otaki""",,,0
1486101300,2018,"""Row Otaki Golf Links, Otaki""",,,1189.9
1486101400,2018,"""Waiorongomai Road, Otaki""",,,987.27
1486101600,2018,"""269 Waiorongomai Road, Otaki""",,,2382.57
1486101700,2018,"""Waiorongomai Road, Otaki""",,,2312.13
1486101900,2018,"""239 Waiorongomai Road, Otaki""",,,2916.73
1486102100,2018,"""186 Waiorongomai Road, Otaki""",,,1801.73
1486102400,2018,"""Old Coach Road, Otaki""",,,1360.62
1486102600,2018,"""172 Waiorongomai Road, Otaki""",,,1926.55
1486102700,2018,"""137,161 Waiorongomai Road, Otaki""",,,12038.08
1486103000,2018,"""Waiorongomai Road, Otaki""",,,2009.74
1486103300,2018,"""98 Old Coach Road North, Otaki""",,,7987.75
1486103400,2018,"""65 Waiorongomai Road, Otaki""",,,1149.05
1486103500,2018,"""60,62 Old Coach Road North, Otaki""",,,3265.81
1486103600,2018,"""Old Coach Road North, Otaki""",,,1486.29
1486103800,2018,"""2 Old Coach Road North, Otaki""",,,0
1486103800A,2018,"""2 Old Coach Road North, Otaki""",,,3750.91
1486103800B,2018,"""2 Old Coach Road North, Otaki""",,,2186.52
1486104000,2018,"""118 Waiorongomai Road, Otaki""",,,2038.57
1486104100,2018,"""Taylors Road, Otaki""",,,173.45
1486104200,2018,"""Taylors Road, Otaki""",,,1020.44
1486104300,2018,"""156 Waiorongomai Road, Otaki""",,,4316.72
1486104400,2018,"""52 Waiorongomai Road, Otaki""",,,2872.67
1486104600,2018,"""Golf Link Row, Otaki""",,,1072.74
1486104800,2018,"""Convent Road, Otaki""",,,167.35
1486104900,2018,"""Convent Road, Otaki""",,,1585.1
1486105000,2018,"""74 Convent Road, Otaki""",,,448.6
1486105100,2018,"""72 Convent Road, Otaki""",,,1568.56
1486105400,2018,"""Convent Road, Otaki""",,,29.45
1486105500,2018,"""Convent Road, Otaki""",,,38.27
1486105600,2018,"""Convent Road, Otaki""",,,157.93
1486105700,2018,"""66 Convent Road, Otaki""",,,2121.42
1486106000,2018,"""58 Convent Road, Otaki""",,,4259.21
1486106100,2018,"""28 Convent Road, Otaki""",,,4107.77
1486106200,2018,"""28 Convent Road, Otaki""",,,5217.51
1486106300,2018,"""Convent Road, Otaki""",,,835.79
1486106400,2018,"""Convent Road, Otaki""",,,835.79
1486106500,2018,"""Convent Road, Otaki""",,,0
1486106700,2018,"""Convent Road, Otaki""",,,738.97
1486106800,2018,"""Lupin Road, Otaki""",,,1103.9
1486107000,2018,"""Convent Road, Otaki""",,,727.3
1486107100,2018,"""Convent Road, Otaki""",,,51.81
1486107200,2018,"""Convent Road, Otaki""",,,133.24
1486107300,2018,"""Convent Road, Otaki""",,,37.97
1486107600,2018,"""97 Lupin Road, Otaki""",,,5274.39
1486108000,2018,"""Old Coach Road North, Otaki""",,,1524.8
1486108200,2018,"""85 Old Coach Road North, Otaki""",,,3292.52
1486108201,2018,"""91 Old Coach Road North, Otaki""",,,4079.7
1486108300,2018,"""Old Coach Road North, Otaki""",,,3110.92
1486108301,2018,"""63 Old Coach Road North, Otaki""",,,653.55
1486108500,2018,"""33 Old Coach Road North, Otaki""",,,2478.74
1486108501,2018,"""35 Old Coach Road North, Otaki""",,,2952.66
1486108502,2018,"""5 Old Coach Road North, Otaki""",,,2338.19
1486108503,2018,"""Old Coach Road North, Otaki""",,,0
1486108600,2018,"""Old Coach Road North, Otaki""",,,0
1486108800,2018,"""63 Convent Road, Otaki""",,,1753.54
1486108900,2018,"""61 Convent Road, Otaki""",,,3997
1486109000,2018,"""59 Convent Road, Otaki""",,,2379.87
1486109100,2018,"""51 Convent Road, Otaki""",,,1637.57
1486109200,2018,"""49 Convent Road, Otaki""",,,2718.37
1486109300,2018,"""18 Bennetts Road, Otaki""",,,2461.34
1486109400,2018,"""7 Bennetts Road, Otaki""",,,2799.94
1486109500,2018,"""30 Bennetts Road, Otaki""",,,3375.3
1486109600,2018,"""31 Bennetts Road, Otaki""",,,2721.39
1486109700,2018,"""38 Bennetts Road, Otaki""",,,4368.78
1486109701,2018,"""41 Bennetts Road, Otaki""",,,2261.1
1486109800,2018,"""45 & 48 Bennetts Road, Otaki""",,,3208.92
1486110000,2018,"""51 Bennetts Road, Otaki""",,,3394.1
1486110200,2018,"""17 Bennetts Road, Otaki""",,,3070.85
1486110300,2018,"""19 Convent Road, Otaki""",,,2696.34
1486110400,2018,"""Convent Road, Otaki""",,,1633.3
1486110600,2018,"""15 Te Rauparaha Street, Otaki""",,,2868.79
1486110601,2018,"""11 Te Rauparaha Street, Otaki""",,,4266.9
1486111200,2018,"""Convent Road, Otaki""",,,1539.91
1486111300,2018,"""20 Convent Road, Otaki""",,,4324.41
1486111400,2018,"""Convent Road, Otaki""",,,1535.86
1486111500,2018,"""Convent Road, Otaki""",,,367.87
1486111700,2018,"""22 Convent Road, Otaki""",,,5238.64
1486111800,2018,"""30 Convent Road, Otaki""",,,2283.52
1486112000,2018,"""Convent Road, Otaki""",,,343.87
1486112100,2018,"""Convent Road, Otaki""",,,1598.97
1486112200,2018,"""40 Convent Road, Otaki""",,,1673.26
1486112400,2018,"""42 Convent Road, Otaki""",,,2121.84
1486113000,2018,"""130 Tasman Road, Otaki""",,,13463.29
1486113401,2018,"""131-137 Tasman Road, Otaki""",,,8355.93
1486114000,2018,"""205 Takapu Road, Otaki""",,,2891.27
1486114001,2018,"""199 Takapu Road, Otaki""",,,1431.05
1486114002,2018,"""197 Takapu Road, Otaki""",,,1414.37
1486114003,2018,"""207 Takapu Road, Otaki""",,,2206.42
1486114004,2018,"""203 Takapu Road, Otaki""",,,1588.74
1486114005,2018,"""201 Takapu Road, Otaki""",,,1734.68
1486114006,2018,"""195 Takapu Road, Otaki""",,,1541.36
1486114300,2018,"""Row Otaki Golf Links, Otaki""",,,2595.33
1486114400,2018,"""Takapu Road, Otaki""",,,1156.8
1486114600,2018,"""Takapu Road, Otaki""",,,7221.38
1486115001,2018,"""44 Atkins Road, Otaki""",,,2162.45
1486115002,2018,"""Atkins Road, Otaki""",,,0
